RowNumber,species_1,cluster_1,species_2,cluster_2,dist,neighborhood,cross_species_cluster1_species_1,cross_species_cluster2_species_2,NewSortColumn
4698,3,124,2,92,54.95110441,181,84,95,1
914,3,124,1,95,57.62216482,181,84,95,1
956,3,124,1,96,54.48907032,181,84,95,1
12474,3,124,5,96,51.00916432,181,84,95,1
12558,3,124,5,98,57.26396749,181,84,95,1
15753,1,86,2,96,79.15590275,181,86,92,1
4825,3,86,2,96,75.05485943,181,86,92,1
999,3,86,1,97,72.30428263,181,86,92,1
15831,1,86,2,98,75.18045567,181,86,92,1
4909,3,86,2,98,71.19270759,181,86,92,1
18692,1,86,4,99,76.46588377,181,86,92,1
21384,1,86,5,99,78.81371713,181,86,92,1
24030,2,86,4,99,75.03389632,181,86,92,1
26815,2,86,5,99,77.30428406,181,86,92,1
8816,3,86,4,99,72.47367313,181,86,92,1
12601,3,86,5,99,74.57482862,181,86,92,1
29292,4,86,5,99,75.37051666,181,86,92,1
21423,1,86,5,100,74.51955325,181,86,92,1
26847,2,86,5,100,72.98780211,181,86,92,1
12643,3,86,5,100,70.33994288,181,86,92,1
29323,4,86,5,100,71.22213136,181,86,92,1
15754,1,87,2,96,76.10719018,181,86,92,1
15832,1,87,2,98,72.54193036,181,86,92,1
18693,1,87,4,99,73.74695687,181,86,92,1
21385,1,87,5,99,75.56975424,181,86,92,1
24031,2,87,4,99,75.05129371,181,86,92,1
26816,2,87,5,99,76.81661511,181,86,92,1
21424,1,87,5,100,71.61494204,181,86,92,1
26848,2,87,5,100,72.98788739,181,86,92,1
18458,1,86,4,92,71.52466704,181,86,94,1
23838,2,86,4,92,69.94026163,181,86,94,1
8564,3,86,4,92,67.5541542,181,86,94,1
